,SHIP,FLAG,SUNK DATE,VESSEL TYPE,ZONA1,ZONA2,ZONA3,ZONA4,COORDINATES,NOTES,IMAGE
154,Quincy Dredge Number Two,,1967,,the United States,Michigan,,, 47.14417; -88.45972﻿ ,A dredge that sank in Torch Lake.,//upload.wikimedia.org/wikipedia/commons/thumb/7/72/Calumet_and_Hecla_Dredge.jpg/220px-Calumet_and_Hecla_Dredge.jpg
155,Amboy,,28 November 1905,,the United States,Minnesota,,, 47.47806; -90.99972﻿ ,,
156,Andy Gibson,,,,the United States,Minnesota,,, 46.54028; -93.71694﻿ ,"Retired Mississippi River steamboat that eventually sank, still in a drydock cradle.",
157,SS Benjamin Noble,,29 April 1914,,the United States,Minnesota,,, 46.93333; -91.66667﻿ ,,
158,USS Essex,,14 October 1931,,the United States,Minnesota,,, 46.71278; -92.02861﻿ ,A decommissioned U.S. Navy steam sloop that was scrapped and burned to the waterline outside Duluth Harbor. Her hull is the only surviving remnant of a vessel built by Donald McKay.,
159,SS George Spencer,,28 November 1905,,the United States,Minnesota,,, 47.47806; -90.99972﻿ ,,
160,SS Hesper,,4 May 1905,,the United States,Minnesota,,, 47.27139; -91.27167﻿ ,The steamship sank off the coast of Silver Bay in Lake Superior in a late spring snowstorm.,
161,SS Lafayette,,28 November 1905,,the United States,Minnesota,,,,,//upload.wikimedia.org/wikipedia/commons/thumb/4/47/A_starboard_view_of_the_destroyer_USS_ELLIOTT_%28DD-967%29_underway_-_DPLA_-_97bbba37df0ab32a0dd427f2c7d0857b.jpeg/300px-A_starboard_view_of_the_destroyer_USS_ELLIOTT_%28DD-967%29_underway_-_DPLA_-_97bbba37df0ab32a0dd427f2c7d0857b.jpeg
162,Madeira,,28 November 1905,,the United States,Minnesota,,, 47.20611; -91.35806﻿ ,"The schooner-barge was under the tow of the steamer William Edenborn when she was caught in a fierce storm with winds around 70 to 80 miles per hour, blowing snow onto the deck and kicking up huge swells. The tow line was cut loose and she crashed into a cliff called Gold Rock, near Beaver Bay, and sank. One life was lost.",
163,May Flower,,2 June 1891,,the United States,Minnesota,,, 46.80333; -92.01111﻿ ,Scow schooner of an atypical design which capsized while carrying a load of sandstone blocks.  One life was lost.,
164,Niagara,,4 June 1904,,the United States,Minnesota,,, 46.94583; -91.77111﻿ ,,
165,SS Onoko,,15 September 1915,,the United States,Minnesota,,, 46.84611; -91.77722﻿ ,The first iron hulled lake freighter that sank after she sprang a leak.,//upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Yudachi_II.jpg/300px-Yudachi_II.jpg
166,SS Robert Wallace,,17 November 1902,,the United States,Minnesota,,, 46.84722; -91.72889﻿ ,Wooden bulk freighter that foundered when its stern pipe burst.  Whole crew was able to offload to the barge they were towing.,
167,Samuel P. Ely,,30 October 1896,,the United States,Minnesota,,, 47.01167; -91.67778﻿ ,,
168,Wayzata Bay Wreck,,1879,,the United States,Minnesota,,, 44.96667; -93.51528﻿ ,,
169,SS Thomas Wilson,,7 June 1902,,the United States,Minnesota,,, 46.78333; -92.06944﻿ ,"Whaleback freighter that sank outside the entrance to the Duluth harbor after colliding with another ship, prompting operational reforms.  Her hatches were not yet closed because the weather was clear and calm.",//upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Thomas_Wilson_whaleback_BGSU_1_withBarges.jpg/300px-Thomas_Wilson_whaleback_BGSU_1_withBarges.jpg
170,USS Baron DeKalb,,13 July 1863,,the United States,Mississippi,,,,A City-class ironclad warship that was sunk by a mine near Yazoo City.,
171,USS Cairo,,12 December 1862,,the United States,Mississippi,,, 32.37583; -90.86667﻿ ,A river gunboat that struck a naval mine in the Yazoo River. The wreck was raised in 1964 and is currently on display at Vicksburg National Military Park.,//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/TaimeiMaru.jpg/300px-TaimeiMaru.jpg
172,Josephine,,,,the United States,Mississippi,,,,A side-wheel steamer foundered off the barrier islands.,
173,USS Lily,,28 May 1863,,the United States,Mississippi,,,,A tugboat that collided with USS Choctaw in the Yazoo River.,
174,USS Petrel,,22 April 1864,,the United States,Mississippi,,,42.58222222222223; -87.84555555555555,A steamboat that was burned in the Yazoo River.,//upload.wikimedia.org/wikipedia/commons/thumb/5/5f/SS_Wisconsin.jpg/250px-SS_Wisconsin.jpg
175,Star of the West,,March 1863,,the United States,Mississippi,,,33.51861111111111; -90.18388888888889,A steamship that was scuttled as a blockship near Greenwood.,//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Star_of_the_West_%281852_steamship%29_from_Pictorial_History_%28Lossing%2C_1866%29.jpg/300px-Star_of_the_West_%281852_steamship%29_from_Pictorial_History_%28Lossing%2C_1866%29.jpg
176,Far West,,October 1883,,the United States,Missouri,,,,A steamboat that sunk near St. Charles on the Missouri River.,
177,USS Inaugural,,1 August 1993,,the United States,Missouri,,, 38.611483; -90.188101﻿ ,"A decommissioned minesweeper, anchored at St. Louis as a floating museum from 1968 until the Great Flood of 1993. During the flood, the Inaugural was ripped from its moorings and carried a mile downstream, where it came to rest on its side, partially submerged, and where it remains to this day.",
178,USS Mingo,,November 1862,,the United States,Missouri,,, 37.315; -89.509﻿ ,A steamboat that sunk off Cape Girardeau.,
179,Montana,,22 June 1884,,the United States,Missouri,,, 38.79472; -90.46694﻿ ,"Large paddle wheeler, beached after collision with bridge near Bridgeton.",
180,Nadine,,10 September 1878,,the United States,Missouri,,,,A steamboat built in 1872 that sank at the mouth of the Missouri River. Several lives lost.,
181,USS Naiad,,1 June 1868,,the United States,Missouri,,, 39.1332; -94.0735﻿ ,A steamboat that sank at Napoleon.,
182,Saluda,,9 April 1852,,the United States,Missouri,,,39.18444444444444; -93.87222222222222,A steamship that exploded near Lexington.,
183,Butte,,1883,,the United States,Montana,,,,A steamboat that burned near Fort Peck on the Missouri River.,
184,Chippewa,,10 May 1861,,the United States,Montana,,, 46.376; -63.008,"A steamboat built in 1859, that burned near the mouth of the Poplar River in the Missouri River.",
185,James D. Rankin,,1877,,the United States,Montana,,,,A steamboat that wrecked on the Yellowstone River.,
186,Oakes,,1892,,the United States,Montana,,,,A steamboat that sank in the North Fork of the Flathead River.,
187,Red Cloud,,11 July 1882,,the United States,Montana,,,,A steamboat that sunk near the Red Cloud Bend of the Missouri River.,
188,Tacony,,1870,,the United States,Montana,,,,A steamboat that was deliberately sunk near Fort Peck on the Missouri River. Part of the hull was pulled up in 1935 during the construction of the Fort Peck Dam.,
189,Yellowstone,,1867,,the United States,Montana,,,43.98833333333334; -109.92916666666667,A steamboat that sank in the Yellowstone River.,
190,Bertrand,,1 April 1865,,the United States,Nebraska,,, 41.52333; -96.02889﻿ ,A steamboat that sunk in the Desoto Bend of the Missouri River.,
191,Pirate,,April 1839,,the United States,Nebraska,,,44.550555555555555; -111.4725,A steamboat that sank in the Missouri River near Bellevue.,
192,SS Tahoe,,29 August 1940,,the United States,Nevada,,,,"A steamship that operated in Lake Tahoe at the turn of the 20th century.  Scuttled in 1940, rediscovered in 2002, and added to the National Register of Historic Places in 2004.",//upload.wikimedia.org/wikipedia/commons/thumb/5/54/SS_Tahoe.jpg/300px-SS_Tahoe.jpg
193,USS O-9,,20 June 1941,,the United States,New Hampshire,,,43.07555555555556; -70.76055555555556,An O-class submarine that sank off Portsmouth.,//upload.wikimedia.org/wikipedia/commons/thumb/4/44/USS_O9_SS70_Presidents_Day_1928.jpg/300px-USS_O9_SS70_Presidents_Day_1928.jpg
194,Adonis,,,,the United States,New Jersey,,,52.12166666666667; -106.66333333333334,Struck shore at Deal Beach.,//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/SS_City_of_Medicine_Hat.png/250px-SS_City_of_Medicine_Hat.png
195,USS Algol,,18 November 1991,,the United States,New Jersey,,, 40.1269; -73.6564﻿ ,An Andromeda-class attack cargo ship sunk as an artificial reef in Shark River.,
196,SS Arundo,,28 April 1942,,the United States,New Jersey,,, 40.17; -73.68﻿ ,"Dutch Cargo Steamer of 5,163 tons built in 1930. When en route from New York for Table Bay and Durban she was torpedoed by U-136 and sunk. 6 crew lost from a total crew of 43",
197,SS Atlantus,,8 June 1926,,the United States,New Jersey,,, 38.94444; -74.97194﻿ ,Sank in a storm.,
198,Ayuruoca,,,,the United States,New Jersey,,,,Sank in a collision.,
199,Beth Dee Bob,,,,the United States,New Jersey,,,,Foundered in a storm.,
200,Brunette,,,,the United States,New Jersey,,,,Sank in a collision.,
201,SS Carolina,,2 June 1918,,the United States,New Jersey,,,,A passenger liner sunk by U-151 off Atlantic City.,
202,Chappara,,,,the United States,New Jersey,,,,Struck a naval mine.,
203,SS Choapa,,,,the United States,New Jersey,,,,Sank in a collision.,
204,Delaware,,,,the United States,New Jersey,,,,Burned then sank under tow.,
205,Goulandris,,,,the United States,New Jersey,,,,Sank in a collision.,
206,SS Gulftrade,,,,the United States,New Jersey,,,,Torpedoed.,
207,USS Jacob Jones,,28 February 1942,,the United States,New Jersey,,, 38.617; -74.533﻿ ,Sunk by a U-boat.,
208,Lana Carol,,,,the United States,New Jersey,,,,Foundered off Manasquan Inlet.,
209,Malta,,,,the United States,New Jersey,,,,Ran aground near Belmar.,
210,Maurice Tracy,,,,the United States,New Jersey,,,,Sank in a collision.,
211,USRC Mohawk,,1 October 1917,,the United States,New Jersey,,,,A revenue cutter that sank in a collision with SS Vennacher off Sandy Hook.,
212,USS Moonstone,,16 October 1943,,the United States,New Jersey,,, 38.5008; -74.111﻿ ,Sank in a collision with the USS Greer off Cape May.,
213,SS Morro Castle,,8 September 1934,,the United States,New Jersey,,,,Caught fire off Long Beach Island.,
214,Park City,,,,the United States,New Jersey,,,,Sank in a collision.,
215,Persephone,,,,the United States,New Jersey,,,,Torpedoed.,
216,SS Pinta,,,,the United States,New Jersey,,,,Sank in a collision.,
217,Pliny,,,,the United States,New Jersey,,,,Ran aground on Deal Beach.,
218,Rjukan,,,,the United States,New Jersey,,,,Ran aground.,
219,USCS Robert J. Walker,,21 June 1860,,the United States,New Jersey,,,,"A survey ship that served in the United States Coast Survey, a predecessor of the United States Coast and Geodetic Survey",
220,R.P. Resor,,28 February 1942,,the United States,New Jersey,,,,Torpedoed by U-578,
221,Rusland,,,,the United States,New Jersey,,,,Struck wreck of Adonis.,
222,San Saba,,,,the United States,New Jersey,,,,Struck a naval mine.,
223,Sindia,,1901,,the United States,New Jersey,,,,Ran aground on the beach of Ocean City.,
224,USS St. Augustine,,6 January 1944,,the United States,New Jersey,,,,A gunboat that was accidentally rammed by Camas Meadows off Cape May.,
225,Stolt Dagali,,,,the United States,New Jersey,,,,Sank in a collision.,
226,USS Tarantula,,28 October 1918,,the United States,New Jersey,,,,A patrol boat that collided with SS Frisa off Fire Island.,
227,Tolten,,,,the United States,New Jersey,,,,Torpedoed.,
228,U-869,,11 February 1945,,the United States,New Jersey,,, 39.33000; -73.20000﻿ ,A German submarine thought to have been sunk near Gibraltar until its wreck was discovered off the coast of New Jersey in 1991.,
229,Vega,,,,the United States,New Jersey,,,,Capsized under tow.,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png
230,Vizcaya,,,,the United States,New Jersey,,,,Sank in a collision.,//upload.wikimedia.org/wikipedia/commons/thumb/5/5b/HMS_Victory_sinking.jpg/300px-HMS_Victory_sinking.jpg
231,PS Washington Irving,,1 June 1926,,the United States,New Jersey,,,,A sidewheeler that collided with an oil barge on the North River and sunk off Jersey City.,
232,Western World,,,,the United States,New Jersey,,,,Ran aground.,
233,HMS Zebra,,22 October 1778,,the United States,New Jersey,,, 39.578; -74.300﻿ ,A sloop that ran aground at Little Egg Harbor.,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Naval_Ensign_of_the_United_Kingdom.svg/56px-Naval_Ensign_of_the_United_Kingdom.svg.png
234,A.E. Vickery,,17 August 1889,,the United States,New York,,, 44.280333; -76.019717﻿ ,A schooner that struck a reef near Rock Island Light.,
235,USS Baldwin,,5 June 1961,,the United States,New York,,,,"A Gleaves-class destroyer that ran aground near Montauk, and although recovered, was deemed not worth repairing, and subsequently scuttled.",
236,Bessie White,,February 1922,,the United States,New York,,,,"A Canadian schooner, recently revealed by superstorm Sandy on Fire Island (south of Long Island) lost in fog while transporting coal.",
237,Cadet,,,,the United States,New York,,,,A steamboat that was wrecked in Lake George.,
238,USS California,,19 July 1918,,the United States,New York,,, 40.53750; -73.0372000﻿ ,An armored cruiser sunk by a torpedo or mine near Fire Island.,
239,Champlain II,,16 July 1875,,the United States,New York,,, 44.20583; -73.37750﻿ ,A passenger steamboat ran aground by pilot under influence of morphine near Westport on Lake Champlain.,
240,Charles R. Morse,,1866,,the United States,New York,,,,"A schooner, went missing and suspected to have rammed the SS Oregon off Long Island.",
241,HMS Culloden,,23 January 1781,,the United States,New York,,,,British ship that ran aground at Montauk during the American Revolution.,
242,Forward,,,,the United States,New York,,,,A motor launch that was wrecked in Lake George.,
243,PS General Slocum,,15 June 1904,,the United States,New York,,,,"A steamboat that caught fire and sank near North Brother Island, with over 1,000 deaths.",
244,Glückauf,,March 1893,,the United States,New York,,,,An oil tanker that ran aground at Fire Island.,
245,MV Gwendoline Steers,,30 December 1962,,the United States,New York,,,,A tugboat that sunk on the approach to Huntington Bay.,
246,Harold,,26 September 1903,,the United States,New York,,,,"The barge moved out of dock at the South Street Seaport in New York City with 7,700 silver and lead ingots, bound for American Smelting and Refining Company in Perth Amboy, New Jersey. The silver and the smelters belonged to the Guggenheim family. The barge sank, and was never recovered.",
247,Holland III,,November 1883,,the United States,New York,,,,"A prototype submarine built by John Philip Holland and stolen by the Fenian Brotherhood, who accidentally sunk it off Whitestone.",
248,HMS Hussar,,23 November 1780,,the United States,New York,,,,A frigate that sank near Long Island Sound.,
249,USRC Jefferson,,15 December 1847,,the United States,New York,,,,A cutter wrecked off Gardiners Point Island.,//upload.wikimedia.org/wikipedia/commons/thumb/d/d8/SS_Saros_Stevage.jpg/300px-SS_Saros_Stevage.jpg
250,John Milton,,6 December 1856,,the United States,New York,,,,A ship that was wrecked in a snowstorm at Hampton Bays.,
251,SS Keystorm,,26 October 1912,,the United States,New York,,, 44.429617; -75.822500﻿ ,A steel freighter that struck Scow Island shoal.,
252,Land Tortoise,,c. 1758,,the United States,New York,,, 50.550; -2.440,A radeau that was intentionally sunk in Lake George during the French and Indian Wars.,
253,Lexington,,14 January 1840,,the United States,New York,,,,A paddlewheel steamship which caught fire north of Long Island.,
254,HMS Liverpool,,11 February 1778,,the United States,New York,,, 40.5902; -73.8545﻿ ,A Coventry-class frigate wrecked in Jamaica Bay.,
255,Morania,,29 October 1951,,the United States,New York,,,,"The result of a gasoline explosion that wrecked the Penobscot, as well. Closest shipwreck to the mouth of the Buffalo River",
256,SS Narragansett,,11 June 1880,,the United States,New York,,,,"A passenger paddle steamer of the Stonington Line that burned and sank on June 11, 1880, after a collision with her sister ship SS Stonington in heavy fog at 23:30 in Long Island Sound. Approximately 50 passengers, but only one crewman, died.",
257,SS Nisbet Grammer,,31 May 1926,,the United States,New York,,,,"A British-built (by Cammell Laird & Company at Birkenhead, England in 1923) canaller, a steamship used to carry grain, coal and other products sunk after being hit by SS Dalwarnic off Somerset, New York. The ship was en route to Montreal from Buffalo, New York. All crew were saved and taken aboard Dalwarnic. Ship was named after one other co-owners of the ship.",
258,USS Ohio,,1884,,the United States,New York,,,,A ship of the line that burned in Greenport Harbor.,
259,SS Oregon,,6 March 1886,,the United States,New York,,, 41.5167; -71.7333﻿ ,A passenger liner that was sunk off Long Island following a collision with a schooner believed to be the Charles R. Morse.,
